URL,Title,Price,Violation,Evidence,Detected At
https://www.ebay.de/itm/147023463738,"PSA 10 Charizard Holo 280/XY-P 2016 CD PROMO Gem Mint Trade Please Pokemon Karte",€3.413,41,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $3.41341 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/389441814452,"Celebrations UPC Charizard #4 & Pikachu #58 Gold Metal Card Promo PSA 10 Set",€14.645,07,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $14.64507 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/336355662444,"Charizard 1st Edition Base Set Holo 4/102 MINT Pokemon Card",€3.095,17,COUNTERFEIT_RISK,"1st Edition vintage card for $3.09517 — likely counterfeit or heavy damage",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/358058338191,"PSA 10 Charizard 06 CD Promo Holo TCG Pokemon Card Japanese Rare 1999 #4",€4.263,35,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $4.26335 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/188099364724,"Pokemon 1999 Charizard Base Set Unlimited Holo Rare #4 PSA 10 Gem Mint",€16.363,71,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $16.36371 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/287186576267,"Yu-Gi-Oh! Blue-Eyes White Dragon Legend/Blue Eyes 2010-17 Reprint LOB-001 PSA 10",€2.605,54,COUNTERFEIT_RISK,"Title contains counterfeit indicator: reprint; PSA 10 of a grail card for only $2.60554 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/177956755543,"Pokémon TCG PSA 10 GEM MINT 1998 Japanese CD Promo Charizard Holo #6",€3.073,47,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $3.07347 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/177924955129,"PSA 9 Gyarados 1st Edition Shadowless Base Set 1999 Pokemon Karte 6/102 Vintage",€3.630,94,COUNTERFEIT_RISK,"1st Edition vintage card for $3.63094 — likely counterfeit or heavy damage",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/177924950737,"PSA 7 Blastoise 1st Edition Shadowless Base Set 1999 Pokemon Karte 2/102 Vintage",€2.837,31,COUNTERFEIT_RISK,"1st Edition vintage card for $2.83731 — likely counterfeit or heavy damage",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/206136292977,"2002 YU-GI-OH! LEGEND OF BLUE EYES 1ST ED #LOB-006 GAIA THE FIERCE KNIGHT PSA 10",€3.567,83,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $3.56783 — almost certainly counterfeit; 1st Edition vintage card for $3.56783 — likely counterfeit or heavy damage",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/227262273132,"Yugioh Blue-Eyes Ultimate Dragon Secret Rare JMP-EN005 PSA 10 Gem Mint",€3.442,64,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $3.44264 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/168254295432,"Neues AngebotYu-Gi-Oh Blue Eyes White Dragon 1996 1st Edition lob-001 ungraded",€34.458,99,COUNTERFEIT_RISK,"1st Edition vintage card for $34.45899 — likely counterfeit or heavy damage",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/117096841706,"Yu-Gi-Oh 2002! MRL-MAGIC RULER #000 BLUE-EYES TOON DRAGON PSA 10",€4.307,37,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $4.30737 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/374714155816,"PSA 10 Pokemon 2015 Poncho-Wear Pikachu Business Card Charizard Y Promo Japanese",€2.583,31,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $2.58331 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/406784373341,"Yugioh Blue Eyes White Dragon PSA 10 GEM MT 2002 LOB-001 English TCG CGC BGS",€3.500,00,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $3.5 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/336493696689,"Charizard Japanese CD Promo Holo Rare PSA 10 #006 Pokémon TCG 1998",€3.661,27,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $3.66127 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/298150293453,"Yu-Gi-Oh 2005! PROMO JUMP MAGAZIN #DE005 BLUE-EYES ULTIMATE DRAGON PSA 10",€3.015,16,COUNTERFEIT_RISK,"PSA 10 of a grail card for only $3.01516 — almost certainly counterfeit",2026-03-25T14:01:27.976Z
https://www.ebay.de/itm/306791685209,"Yu-Gi-Oh 2002! LEGEND OF BLUE EYES WHITE DRAGON 1ST EDITION DARK MAGICIAN PSA 8",€2.584,42,COUNTERFEIT_RISK,"1st Edition vintage card for $2.58442 — likely counterfeit or heavy damage",2026-03-25T14:01:27.976Z
